modelo,modo,semilla,repeticion,segundos,fraudes_totales,casos_elevados,fraudes_elevados,recall_detector,recall_sistema,precision_sistema,n_confirmados,n_descartados,n_fraude_descartado,fraude_descartado,n_descarte_correcto,auditoria,fiable,cobertura,cobertura_investigacion,error
qwen2.5:14b,revisa,0,1,246.5,54,55,44,0.8148148148148148,0.7777777777777778,0.84,50,5,2,12377;21126,3,INCOMPLETO,False,0.255,1.0,
qwen2.5:14b,revisa,0,2,248.1,54,55,44,0.8148148148148148,0.7777777777777778,0.84,50,5,2,12377;21126,3,INCOMPLETO,False,0.273,1.0,
qwen2.5:14b,revisa,0,3,290.9,54,55,44,0.8148148148148148,0.7777777777777778,0.84,50,5,2,7799;12377,3,INCOMPLETO,False,0.236,1.0,
qwen2.5:14b,revisa,0,4,244.3,54,55,44,0.8148148148148148,0.7962962962962963,0.8431372549019608,51,4,1,12377,3,INCOMPLETO,False,0.145,1.0,
qwen2.5:14b,revisa,1,1,235.4,51,53,41,0.803921568627451,0.7843137254901961,0.8163265306122449,49,4,1,15375,3,INCOMPLETO,False,0.019,1.0,
qwen2.5:14b,revisa,1,2,244.5,51,53,41,0.803921568627451,0.803921568627451,0.82,50,3,0,,3,INCOMPLETO,False,0.245,1.0,
qwen2.5:14b,revisa,1,3,239.9,51,53,41,0.803921568627451,0.7843137254901961,0.8163265306122449,49,4,1,13299,3,INCOMPLETO,False,0.0,1.0,
qwen2.5:14b,revisa,1,4,237.3,51,53,41,0.803921568627451,0.803921568627451,0.82,50,3,0,,3,INCOMPLETO,False,0.057,1.0,
qwen2.5:14b,revisa,2,1,219.4,38,42,27,0.7105263157894737,0.7105263157894737,0.675,40,2,0,,2,INCOMPLETO,False,0.0,1.0,
qwen2.5:14b,revisa,2,2,227.7,38,42,27,0.7105263157894737,0.7105263157894737,0.675,40,2,0,,2,INCOMPLETO,False,0.333,1.0,
qwen2.5:14b,revisa,2,3,230.9,38,42,27,0.7105263157894737,0.7105263157894737,0.6923076923076923,39,3,0,,3,INCOMPLETO,False,0.0,1.0,
qwen2.5:14b,revisa,2,4,229.5,38,42,27,0.7105263157894737,0.7105263157894737,0.6923076923076923,39,3,0,,3,INCOMPLETO,False,0.0,1.0,
qwen2.5:14b,revisa,3,1,165.8,26,32,18,0.6923076923076923,0.6923076923076923,0.6428571428571429,28,4,0,,4,INCOMPLETO,False,0.062,1.0,
qwen2.5:14b,revisa,3,2,248.4,26,32,18,0.6923076923076923,0.6923076923076923,0.6206896551724138,29,3,0,,3,INCOMPLETO,False,0.844,1.0,
qwen2.5:14b,revisa,3,3,161.6,26,32,18,0.6923076923076923,0.6538461538461539,0.6296296296296297,27,5,1,8492,4,INCOMPLETO,False,0.031,1.0,
qwen2.5:14b,revisa,3,4,216.3,26,32,18,0.6923076923076923,0.6923076923076923,0.5806451612903226,31,1,0,,1,INCOMPLETO,False,0.906,1.0,
