modelo,modo,semilla,repeticion,segundos,fraudes_totales,casos_elevados,fraudes_elevados,recall_detector,recall_sistema,precision_sistema,n_confirmados,n_descartados,n_fraude_descartado,fraude_descartado,n_descarte_correcto,auditoria,fiable,cobertura,cobertura_investigacion,error
qwen2.5-14b-ctx16k,revisa,0,1,303.8,54,55,44,0.8148148148148148,0.7777777777777778,0.9767441860465116,43,12,2,1885;12377,10,INCOMPLETO,False,0.0,1.0,
qwen2.5-14b-ctx16k,revisa,0,2,312.4,54,55,44,0.8148148148148148,0.7777777777777778,0.9767441860465116,43,12,2,1885;12377,10,INCOMPLETO,False,0.0,1.0,
qwen2.5-14b-ctx16k,revisa,0,3,316.1,54,55,44,0.8148148148148148,0.7777777777777778,0.9767441860465116,43,12,2,1885;12377,10,INCOMPLETO,False,0.0,1.0,
qwen2.5-14b-ctx16k,revisa,0,4,307.9,54,55,44,0.8148148148148148,0.7777777777777778,0.9767441860465116,43,12,2,1885;12377,10,INCOMPLETO,False,0.0,1.0,
qwen2.5-14b-ctx16k,revisa,1,1,289.3,51,53,41,0.803921568627451,0.7843137254901961,0.9302325581395349,43,10,1,3693,9,INCOMPLETO,False,0.0,1.0,
qwen2.5-14b-ctx16k,revisa,1,2,283.3,51,53,41,0.803921568627451,0.7843137254901961,0.9302325581395349,43,10,1,3693,9,INCOMPLETO,False,0.0,1.0,
qwen2.5-14b-ctx16k,revisa,1,3,297.3,51,53,41,0.803921568627451,0.7843137254901961,0.9302325581395349,43,10,1,3693,9,INCOMPLETO,False,0.0,1.0,
qwen2.5-14b-ctx16k,revisa,1,4,384.6,51,53,41,0.803921568627451,0.7843137254901961,0.9090909090909091,44,9,1,3693,8,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,2,1,275.5,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,2,2,349.4,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,2,3,297.3,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,2,4,352.2,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,3,1,218.2,26,32,18,0.6923076923076923,0.6923076923076923,0.75,24,8,0,,8,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,3,2,284.8,26,32,18,0.6923076923076923,0.6923076923076923,0.75,24,8,0,,8,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,3,3,282.2,26,32,18,0.6923076923076923,0.6923076923076923,0.75,24,8,0,,8,FIABLE,True,1.0,1.0,
