modelo,modo,semilla,repeticion,segundos,fraudes_totales,casos_elevados,fraudes_elevados,recall_detector,recall_sistema,precision_sistema,n_confirmados,n_descartados,n_fraude_descartado,fraude_descartado,n_descarte_correcto,auditoria,fiable,cobertura,cobertura_investigacion,error
qwen2.5:14b,revisa,0,1,257.6,54,55,44,0.8148148148148148,0.7777777777777778,0.9767441860465116,43,12,2,1885;12377,10,INCOMPLETO,False,0.236,1.0,
qwen2.5:14b,revisa,0,2,246.6,54,55,44,0.8148148148148148,0.7777777777777778,0.9767441860465116,43,12,2,1885;12377,10,INCOMPLETO,False,0.273,1.0,
qwen2.5:14b,revisa,0,3,268.5,54,55,44,0.8148148148148148,0.7777777777777778,0.9767441860465116,43,12,2,1885;12377,10,INCOMPLETO,False,0.291,1.0,
qwen2.5:14b,revisa,0,4,289.4,54,55,44,0.8148148148148148,0.7777777777777778,0.9545454545454546,44,11,2,1885;12377,9,INCOMPLETO,False,0.236,1.0,
qwen2.5:14b,revisa,1,1,249.2,51,53,41,0.803921568627451,0.7843137254901961,0.9302325581395349,43,10,1,3693,9,INCOMPLETO,False,0.264,1.0,
qwen2.5:14b,revisa,1,2,240.3,51,53,41,0.803921568627451,0.7843137254901961,0.9302325581395349,43,10,1,3693,9,INCOMPLETO,False,0.283,1.0,
qwen2.5:14b,revisa,1,3,229.0,51,53,41,0.803921568627451,0.7843137254901961,0.9302325581395349,43,10,1,3693,9,INCOMPLETO,False,0.283,1.0,
qwen2.5:14b,revisa,1,4,252.1,51,53,41,0.803921568627451,0.7843137254901961,0.9302325581395349,43,10,1,3693,9,INCOMPLETO,False,0.264,1.0,
qwen2.5:14b,revisa,2,1,190.8,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,INCOMPLETO,False,0.357,1.0,
qwen2.5:14b,revisa,2,2,199.3,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,INCOMPLETO,False,0.31,1.0,
qwen2.5:14b,revisa,2,3,187.4,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,INCOMPLETO,False,0.357,1.0,
qwen2.5:14b,revisa,2,4,196.2,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,INCOMPLETO,False,0.357,1.0,
qwen2.5:14b,revisa,3,1,145.3,26,32,18,0.6923076923076923,0.6923076923076923,0.75,24,8,0,,8,INCOMPLETO,False,0.469,1.0,
qwen2.5:14b,revisa,3,2,174.7,26,32,18,0.6923076923076923,0.6923076923076923,0.75,24,8,0,,8,INCOMPLETO,False,0.25,1.0,
qwen2.5:14b,revisa,3,3,156.6,26,32,18,0.6923076923076923,0.6923076923076923,0.75,24,8,0,,8,NO FIABLE - invencion semantica,False,0.469,1.0,
qwen2.5:14b,revisa,3,4,153.8,26,32,18,0.6923076923076923,0.6923076923076923,0.75,24,8,0,,8,INCOMPLETO,False,0.625,1.0,
