modelo,modo,semilla,repeticion,segundos,fraudes_totales,casos_elevados,fraudes_elevados,recall_detector,recall_sistema,precision_sistema,n_confirmados,n_descartados,n_fraude_descartado,fraude_descartado,n_descarte_correcto,auditoria,fiable,cobertura,cobertura_investigacion,error
qwen2.5-14b-ctx16k,revisa,0,1,308.9,54,55,44,0.8148148148148148,0.7592592592592593,0.9761904761904762,42,13,3,1885;5413;12377,10,INCOMPLETO,False,0.0,1.0,
qwen2.5-14b-ctx16k,revisa,0,2,321.3,54,55,44,0.8148148148148148,0.7777777777777778,0.9767441860465116,43,12,2,1885;12377,10,INCOMPLETO,False,0.0,1.0,
qwen2.5-14b-ctx16k,revisa,1,1,345.8,51,53,41,0.803921568627451,0.7843137254901961,0.9302325581395349,43,10,1,3693,9,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,1,2,287.4,51,53,41,0.803921568627451,0.7843137254901961,0.9302325581395349,43,10,1,3693,9,INCOMPLETO,False,0.019,1.0,
qwen2.5-14b-ctx16k,revisa,2,1,323.6,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,2,2,302.7,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,3,1,273.0,26,32,18,0.6923076923076923,0.6923076923076923,0.75,24,8,0,,8,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,3,2,266.2,26,32,18,0.6923076923076923,0.6923076923076923,0.75,24,8,0,,8,FIABLE,True,1.0,1.0,
gpt-oss-20b-ctx16k,revisa,0,1,474.7,54,55,44,0.8148148148148148,0.8148148148148148,0.88,50,5,0,,5,FIABLE,True,1.0,1.0,
gpt-oss-20b-ctx16k,revisa,0,2,496.3,54,55,44,0.8148148148148148,0.8148148148148148,0.8627450980392157,51,4,0,,4,FIABLE,True,1.0,1.0,
gpt-oss-20b-ctx16k,revisa,1,1,466.6,51,53,41,0.803921568627451,0.7843137254901961,0.8,50,3,1,3693,2,FIABLE,True,1.0,1.0,
gpt-oss-20b-ctx16k,revisa,1,2,482.5,51,53,41,0.803921568627451,0.803921568627451,0.8723404255319149,47,6,0,,6,INCOMPLETO,False,0.0,1.0,
gpt-oss-20b-ctx16k,revisa,2,1,385.0,38,42,27,0.7105263157894737,0.7105263157894737,0.7105263157894737,38,4,0,,4,INCOMPLETO,False,0.0,1.0,
gpt-oss-20b-ctx16k,revisa,2,2,392.6,38,42,27,0.7105263157894737,0.7105263157894737,0.7714285714285715,35,7,0,,7,INCOMPLETO,False,0.667,1.0,
gpt-oss-20b-ctx16k,revisa,3,1,330.4,26,32,18,0.6923076923076923,0.6923076923076923,0.6206896551724138,29,3,0,,3,FIABLE,True,1.0,1.0,
gpt-oss-20b-ctx16k,revisa,3,2,324.6,26,32,18,0.6923076923076923,0.6923076923076923,0.6,30,2,0,,2,FIABLE,True,1.0,1.0,
llama3.1-8b-ctx16k,revisa,0,1,166.3,54,55,44,0.8148148148148148,0.7592592592592593,0.9318181818181818,44,11,3,1885;12377;22118,8,INCOMPLETO,False,0.0,1.0,
llama3.1-8b-ctx16k,revisa,0,2,171.6,54,55,44,0.8148148148148148,0.7962962962962963,0.8958333333333334,48,7,1,12377,6,INCOMPLETO,False,0.0,1.0,
llama3.1-8b-ctx16k,revisa,1,1,151.0,51,53,41,0.803921568627451,0.7647058823529411,0.8863636363636364,44,9,2,578;3693,7,FIABLE,True,1.0,1.0,
llama3.1-8b-ctx16k,revisa,1,2,148.5,51,53,41,0.803921568627451,0.7647058823529411,0.9069767441860465,43,10,2,3693;11767,8,FIABLE,True,1.0,1.0,
llama3.1-8b-ctx16k,revisa,2,1,115.7,38,42,27,0.7105263157894737,0.6842105263157895,0.7878787878787878,33,9,1,5275,8,FIABLE,True,1.0,1.0,
llama3.1-8b-ctx16k,revisa,2,2,102.1,38,42,27,0.7105263157894737,0.7105263157894737,0.8181818181818182,33,9,0,,9,FIABLE,True,1.0,1.0,
llama3.1-8b-ctx16k,revisa,3,1,98.6,26,32,18,0.6923076923076923,0.6923076923076923,0.6666666666666666,27,5,0,,5,INCOMPLETO,False,0.844,1.0,
llama3.1-8b-ctx16k,revisa,3,2,98.3,26,32,18,0.6923076923076923,0.6923076923076923,0.6666666666666666,27,5,0,,5,INCOMPLETO,False,0.906,1.0,
