modelo,modo,semilla,repeticion,segundos,fraudes_totales,casos_elevados,fraudes_elevados,recall_detector,recall_sistema,precision_sistema,n_confirmados,n_descartados,n_fraude_descartado,fraude_descartado,n_descarte_correcto,auditoria,fiable,cobertura,cobertura_investigacion,error
qwen2.5-14b-ctx16k,interpreta,0,1,181.5,54,42,41,0.7592592592592593,0.7592592592592593,0.9761904761904762,0,0,0,,0,INCOMPLETO,False,0.405,1.0,
qwen2.5-14b-ctx16k,interpreta,0,2,197.3,54,42,41,0.7592592592592593,0.7592592592592593,0.9761904761904762,0,0,0,,0,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,interpreta,1,1,244.3,51,42,40,0.7843137254901961,0.7843137254901961,0.9523809523809523,0,0,0,,0,INCOMPLETO,False,0.762,1.0,
qwen2.5-14b-ctx16k,interpreta,1,2,246.8,51,42,40,0.7843137254901961,0.7843137254901961,0.9523809523809523,0,0,0,,0,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,interpreta,2,1,143.5,38,32,27,0.7105263157894737,0.7105263157894737,0.84375,0,0,0,,0,INCOMPLETO,False,0.312,1.0,
qwen2.5-14b-ctx16k,interpreta,2,2,193.1,38,32,27,0.7105263157894737,0.7105263157894737,0.84375,0,0,0,,0,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,interpreta,3,1,140.6,26,24,18,0.6923076923076923,0.6923076923076923,0.75,0,0,0,,0,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,interpreta,3,2,145.3,26,24,18,0.6923076923076923,0.6923076923076923,0.75,0,0,0,,0,FIABLE,True,1.0,1.0,
