modelo,modo,semilla,repeticion,segundos,fraudes_totales,casos_elevados,fraudes_elevados,recall_detector,recall_sistema,precision_sistema,n_confirmados,n_descartados,n_fraude_descartado,fraude_descartado,n_descarte_correcto,auditoria,fiable,cobertura,cobertura_investigacion,error
qwen2.5-14b-ctx16k,interpreta,0,1,351.7,54,42,41,0.7592592592592593,0.7592592592592593,0.9761904761904762,0,0,0,,0,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,interpreta,0,2,331.9,54,42,41,0.7592592592592593,0.7592592592592593,0.9761904761904762,0,0,0,,0,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,interpreta,1,1,320.0,51,42,40,0.7843137254901961,0.7843137254901961,0.9523809523809523,0,0,0,,0,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,interpreta,1,2,342.2,51,42,40,0.7843137254901961,0.7843137254901961,0.9523809523809523,0,0,0,,0,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,interpreta,2,1,235.7,38,32,27,0.7105263157894737,0.7105263157894737,0.84375,0,0,0,,0,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,interpreta,2,2,243.1,38,32,27,0.7105263157894737,0.7105263157894737,0.84375,0,0,0,,0,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,interpreta,3,1,181.4,26,24,18,0.6923076923076923,0.6923076923076923,0.75,0,0,0,,0,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,interpreta,3,2,170.8,26,24,18,0.6923076923076923,0.6923076923076923,0.75,0,0,0,,0,FIABLE,True,1.0,1.0,
