modelo,modo,semilla,repeticion,segundos,fraudes_totales,casos_elevados,fraudes_elevados,recall_detector,recall_sistema,precision_sistema,n_confirmados,n_descartados,n_fraude_descartado,fraude_descartado,n_descarte_correcto,auditoria,fiable,cobertura,cobertura_investigacion,error
qwen2.5:14b,revisa,0,1,306.7,54,55,44,0.8148148148148148,0.7777777777777778,0.9545454545454546,44,11,2,1885;12377,9,INCOMPLETO,False,0.273,1.0,
qwen2.5:14b,revisa,0,2,317.2,54,55,44,0.8148148148148148,0.7777777777777778,0.9767441860465116,43,12,2,1885;12377,10,INCOMPLETO,False,0.291,1.0,
qwen2.5:14b,revisa,0,3,296.8,54,55,44,0.8148148148148148,0.7777777777777778,0.9545454545454546,44,11,2,1885;12377,9,INCOMPLETO,False,0.273,1.0,
qwen2.5:14b,revisa,0,4,326.9,54,55,44,0.8148148148148148,0.7777777777777778,0.9767441860465116,43,12,2,1885;12377,10,INCOMPLETO,False,0.273,1.0,
qwen2.5:14b,revisa,1,1,254.0,51,53,41,0.803921568627451,0.7450980392156863,0.9047619047619048,42,11,3,1837;3693;6864,8,INCOMPLETO,False,0.226,1.0,
qwen2.5:14b,revisa,1,2,287.4,51,53,41,0.803921568627451,0.7843137254901961,0.9090909090909091,44,9,1,3693,8,INCOMPLETO,False,0.17,1.0,
qwen2.5:14b,revisa,1,3,255.7,51,53,41,0.803921568627451,0.7843137254901961,0.8695652173913043,46,7,1,3693,6,INCOMPLETO,False,0.302,1.0,
qwen2.5:14b,revisa,1,4,259.5,51,53,41,0.803921568627451,0.7647058823529411,0.9069767441860465,43,10,2,3693;11767,8,INCOMPLETO,False,0.302,1.0,
qwen2.5:14b,revisa,2,1,235.2,38,42,27,0.7105263157894737,0.7105263157894737,0.8709677419354839,31,11,0,,11,INCOMPLETO,False,0.333,1.0,
qwen2.5:14b,revisa,2,2,227.2,38,42,27,0.7105263157894737,0.7105263157894737,0.8181818181818182,33,9,0,,9,INCOMPLETO,False,0.381,1.0,
qwen2.5:14b,revisa,2,3,207.6,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,INCOMPLETO,False,0.357,1.0,
qwen2.5:14b,revisa,2,4,216.3,38,42,27,0.7105263157894737,0.7105263157894737,0.8709677419354839,31,11,0,,11,INCOMPLETO,False,0.024,1.0,
qwen2.5:14b,revisa,3,1,166.0,26,32,18,0.6923076923076923,0.6923076923076923,0.72,25,7,0,,7,INCOMPLETO,False,0.438,1.0,
qwen2.5:14b,revisa,3,2,181.9,26,32,18,0.6923076923076923,0.6923076923076923,0.6923076923076923,26,6,0,,6,INCOMPLETO,False,0.062,1.0,
qwen2.5:14b,revisa,3,3,179.4,26,32,18,0.6923076923076923,0.6923076923076923,0.72,25,7,0,,7,INCOMPLETO,False,0.406,1.0,
qwen2.5:14b,revisa,3,4,179.6,26,32,18,0.6923076923076923,0.6923076923076923,0.72,25,7,0,,7,INCOMPLETO,False,0.0,1.0,
